sim_id	k_cap_bind	k_start_uorf2	k_scan	k_elong	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_5_hit_80s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
285	0.03125	0.1	5	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
286	0.03125	0.1	5	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
287	0.03125	0.1	5	5	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
288	0.03125	20.0	2	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
289	0.03125	20.0	2	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
290	0.03125	20.0	2	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
291	0.03125	20.0	2	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
292	0.03125	20.0	2	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
293	0.03125	20.0	2	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
294	0.03125	20.0	2	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
295	0.03125	20.0	2	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
296	0.03125	20.0	2	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
297	0.03125	20.0	2	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
298	0.03125	20.0	2	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
299	0.03125	20.0	2	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
300	0.03125	20.0	2	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
301	0.03125	20.0	2	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
302	0.03125	20.0	2	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
